"","pred","CI.Lo.50","CI.Hi.50","CI.Lo.95","CI.Hi.95","CI.year","CI.period","arma","aicc","pred.1","CI.Lo.50.1","CI.Hi.50.1","CI.Lo.95.1","CI.Hi.95.1","CI.year.1","CI.period.1","arma.1","aicc.1","pred.2","CI.Lo.50.2","CI.Hi.50.2","CI.Lo.95.2","CI.Hi.95.2","CI.year.2","CI.period.2","arma.2","aicc.2","pred.3","CI.Lo.50.3","CI.Hi.50.3","CI.Lo.95.3","CI.Hi.95.3","CI.year.3","CI.period.3","arma.3","aicc.3","pred.4","CI.Lo.50.4","CI.Hi.50.4","CI.Lo.95.4","CI.Hi.95.4","CI.year.4","CI.period.4","arma.4","aicc.4","pred.5","CI.Lo.50.5","CI.Hi.50.5","CI.Lo.95.5","CI.Hi.95.5","CI.year.5","CI.period.5","arma.5","aicc.5","pred.6","CI.Lo.50.6","CI.Hi.50.6","CI.Lo.95.6","CI.Hi.95.6","CI.year.6","CI.period.6","arma.6","aicc.6","pred.7","CI.Lo.50.7","CI.Hi.50.7","CI.Lo.95.7","CI.Hi.95.7","CI.year.7","CI.period.7","arma.7","aicc.7","pred.8","CI.Lo.50.8","CI.Hi.50.8","CI.Lo.95.8","CI.Hi.95.8","CI.year.8","CI.period.8","arma.8","aicc.8","pred.9","CI.Lo.50.9","CI.Hi.50.9","CI.Lo.95.9","CI.Hi.95.9","CI.year.9","CI.period.9","arma.9","aicc.9"
"1",3239.73399990304,394.884848273479,621.216248581677,256.425665535364,956.647157584796,2006,1,"0000200",27.6688069025126,2743.27366589469,349.537631233062,669.389268304901,188.188643567928,1243.30955779312,2006,1,"0101210",55.513373323862,2743.03087386095,241.245536122557,515.532157341949,117.000706315827,1062.98359730118,2006,1,"1000210",62.8707119481299,2743.27372319567,462.305692407084,953.124752734055,232.007029110111,1899.23124507543,2006,1,"0101210",61.6194012649416,2743.00844466839,438.115322261711,809.536318455507,244.058199406381,1453.2200348333,2006,1,"1001210",53.9911584584464,2743.54000030193,347.60026419698,743.663122173915,168.396532549957,1535.05237802041,2006,1,"0101210",64.84768549065,2743.15605373861,454.847776637218,957.296814311893,223.820445080232,1945.41802209165,2006,1,"0101210",63.5766526253053,2744.31648968102,444.725521683217,952.323826737188,215.261971842193,1967.47575539044,2006,1,"0101210",65.0480383625259,2737.80303348193,352.560025610893,752.36926631641,171.211364310475,1549.28575488919,2006,1,"0101210",64.7772776611988,2743.6505345584,400.077367386737,829.32903235937,199.739850456671,1661.13960336474,2006,1,"0101210",62.2986023137335
"2",3591.85960115759,394.884848273479,621.216248581677,256.425665535364,956.647157584796,2006,1,"0000200",27.6688069025126,2908.87832056141,349.537631233062,669.389268304901,188.188643567928,1243.30955779312,2006,1,"0101210",55.513373323862,3105.08102226547,241.245536122557,515.532157341949,117.000706315827,1062.98359730118,2006,1,"1000210",62.8707119481299,2950.78922476042,462.305692407084,953.124752734055,232.007029110111,1899.23124507543,2006,1,"0101210",61.6194012649416,4037.42861110006,438.115322261711,809.536318455507,244.058199406381,1453.2200348333,2006,1,"1001210",53.9911584584464,2946.65919579971,347.60026419698,743.663122173915,168.396532549957,1535.05237802041,2006,1,"0101210",64.84768549065,3376.13089849339,454.847776637218,957.296814311893,223.820445080232,1945.41802209165,2006,1,"0101210",63.5766526253053,3045.74070934942,444.725521683217,952.323826737188,215.261971842193,1967.47575539044,2006,1,"0101210",65.0480383625259,3326.06287457697,352.560025610893,752.36926631641,171.211364310475,1549.28575488919,2006,1,"0101210",64.7772776611988,3961.95047894172,400.077367386737,829.32903235937,199.739850456671,1661.13960336474,2006,1,"0101210",62.2986023137335
"3",2049.40819896125,394.884848273479,621.216248581677,256.425665535364,956.647157584796,2006,1,"0000200",27.6688069025126,2876.76917815841,349.537631233062,669.389268304901,188.188643567928,1243.30955779312,2006,1,"0101210",55.513373323862,3449.25867060964,241.245536122557,515.532157341949,117.000706315827,1062.98359730118,2006,1,"1000210",62.8707119481299,3751.48471243272,462.305692407084,953.124752734055,232.007029110111,1899.23124507543,2006,1,"0101210",61.6194012649416,3621.94357669248,438.115322261711,809.536318455507,244.058199406381,1453.2200348333,2006,1,"1001210",53.9911584584464,3245.82433152998,347.60026419698,743.663122173915,168.396532549957,1535.05237802041,2006,1,"0101210",64.84768549065,3419.9940489761,454.847776637218,957.296814311893,223.820445080232,1945.41802209165,2006,1,"0101210",63.5766526253053,2716.31637788564,444.725521683217,952.323826737188,215.261971842193,1967.47575539044,2006,1,"0101210",65.0480383625259,2886.80825067839,352.560025610893,752.36926631641,171.211364310475,1549.28575488919,2006,1,"0101210",64.7772776611988,2826.800005525,400.077367386737,829.32903235937,199.739850456671,1661.13960336474,2006,1,"0101210",62.2986023137335
"4",1800.92279420173,394.884848273479,621.216248581677,256.425665535364,956.647157584796,2006,1,"0000200",27.6688069025126,3138.22836376207,349.537631233062,669.389268304901,188.188643567928,1243.30955779312,2006,1,"0101210",55.513373323862,2103.79796770859,241.245536122557,515.532157341949,117.000706315827,1062.98359730118,2006,1,"1000210",62.8707119481299,2762.25436404956,462.305692407084,953.124752734055,232.007029110111,1899.23124507543,2006,1,"0101210",61.6194012649416,1946.15335134965,438.115322261711,809.536318455507,244.058199406381,1453.2200348333,2006,1,"1001210",53.9911584584464,3043.14280188528,347.60026419698,743.663122173915,168.396532549957,1535.05237802041,2006,1,"0101210",64.84768549065,1780.03641917703,454.847776637218,957.296814311893,223.820445080232,1945.41802209165,2006,1,"0101210",63.5766526253053,2506.53274244286,444.725521683217,952.323826737188,215.261971842193,1967.47575539044,2006,1,"0101210",65.0480383625259,2328.70927041813,352.560025610893,752.36926631641,171.211364310475,1549.28575488919,2006,1,"0101210",64.7772776611988,2137.49269394028,400.077367386737,829.32903235937,199.739850456671,1661.13960336474,2006,1,"0101210",62.2986023137335
"5",2870.14220101999,394.884848273479,621.216248581677,256.425665535364,956.647157584796,2006,1,"0000200",27.6688069025126,2311.35575076581,349.537631233062,669.389268304901,188.188643567928,1243.30955779312,2006,1,"0101210",55.513373323862,1980.81318274315,241.245536122557,515.532157341949,117.000706315827,1062.98359730118,2006,1,"1000210",62.8707119481299,1607.36610043721,462.305692407084,953.124752734055,232.007029110111,1899.23124507543,2006,1,"0101210",61.6194012649416,1210.37603734005,438.115322261711,809.536318455507,244.058199406381,1453.2200348333,2006,1,"1001210",53.9911584584464,2087.85066516228,347.60026419698,743.663122173915,168.396532549957,1535.05237802041,2006,1,"0101210",64.84768549065,2046.93953880856,454.847776637218,957.296814311893,223.820445080232,1945.41802209165,2006,1,"0101210",63.5766526253053,1964.47240460762,444.725521683217,952.323826737188,215.261971842193,1967.47575539044,2006,1,"0101210",65.0480383625259,1629.11151621489,352.560025610893,752.36926631641,171.211364310475,1549.28575488919,2006,1,"0101210",64.7772776611988,2396.53704921339,400.077367386737,829.32903235937,199.739850456671,1661.13960336474,2006,1,"0101210",62.2986023137335
"6",1494.96123603005,394.884848273479,621.216248581677,256.425665535364,956.647157584796,2006,1,"0000200",27.6688069025126,1719.79251843849,349.537631233062,669.389268304901,188.188643567928,1243.30955779312,2006,1,"0101210",55.513373323862,2490.37871316309,241.245536122557,515.532157341949,117.000706315827,1062.98359730118,2006,1,"1000210",62.8707119481299,1812.93203253455,462.305692407084,953.124752734055,232.007029110111,1899.23124507543,2006,1,"0101210",61.6194012649416,1869.06237426466,438.115322261711,809.536318455507,244.058199406381,1453.2200348333,2006,1,"1001210",53.9911584584464,2225.24183371433,347.60026419698,743.663122173915,168.396532549957,1535.05237802041,2006,1,"0101210",64.84768549065,2752.35671278311,454.847776637218,957.296814311893,223.820445080232,1945.41802209165,2006,1,"0101210",63.5766526253053,2102.04076282036,444.725521683217,952.323826737188,215.261971842193,1967.47575539044,2006,1,"0101210",65.0480383625259,2677.43110753331,352.560025610893,752.36926631641,171.211364310475,1549.28575488919,2006,1,"0101210",64.7772776611988,2059.88053234114,400.077367386737,829.32903235937,199.739850456671,1661.13960336474,2006,1,"0101210",62.2986023137335
"7",3430.02313201063,394.884848273479,621.216248581677,256.425665535364,956.647157584796,2006,1,"0000200",27.6688069025126,2570.87961433646,349.537631233062,669.389268304901,188.188643567928,1243.30955779312,2006,1,"0101210",55.513373323862,2694.42211845413,241.245536122557,515.532157341949,117.000706315827,1062.98359730118,2006,1,"1000210",62.8707119481299,3309.34274984083,462.305692407084,953.124752734055,232.007029110111,1899.23124507543,2006,1,"0101210",61.6194012649416,4500.19667000541,438.115322261711,809.536318455507,244.058199406381,1453.2200348333,2006,1,"1001210",53.9911584584464,2349.23054979483,347.60026419698,743.663122173915,168.396532549957,1535.05237802041,2006,1,"0101210",64.84768549065,2831.03962787433,454.847776637218,957.296814311893,223.820445080232,1945.41802209165,2006,1,"0101210",63.5766526253053,2613.82499654034,444.725521683217,952.323826737188,215.261971842193,1967.47575539044,2006,1,"0101210",65.0480383625259,3142.81391772739,352.560025610893,752.36926631641,171.211364310475,1549.28575488919,2006,1,"0101210",64.7772776611988,2947.36870790662,400.077367386737,829.32903235937,199.739850456671,1661.13960336474,2006,1,"0101210",62.2986023137335
"8",1046.81734156921,394.884848273479,621.216248581677,256.425665535364,956.647157584796,2006,1,"0000200",27.6688069025126,2097.061914372,349.537631233062,669.389268304901,188.188643567928,1243.30955779312,2006,1,"0101210",55.513373323862,3503.54458542879,241.245536122557,515.532157341949,117.000706315827,1062.98359730118,2006,1,"1000210",62.8707119481299,2247.6213137048,462.305692407084,953.124752734055,232.007029110111,1899.23124507543,2006,1,"0101210",61.6194012649416,1648.02378799597,438.115322261711,809.536318455507,244.058199406381,1453.2200348333,2006,1,"1001210",53.9911584584464,2136.62811659459,347.60026419698,743.663122173915,168.396532549957,1535.05237802041,2006,1,"0101210",64.84768549065,1707.0434827382,454.847776637218,957.296814311893,223.820445080232,1945.41802209165,2006,1,"0101210",63.5766526253053,2165.18013756313,444.725521683217,952.323826737188,215.261971842193,1967.47575539044,2006,1,"0101210",65.0480383625259,2391.37776190196,352.560025610893,752.36926631641,171.211364310475,1549.28575488919,2006,1,"0101210",64.7772776611988,2387.54755990313,400.077367386737,829.32903235937,199.739850456671,1661.13960336474,2006,1,"0101210",62.2986023137335
"9",2039.29292938331,394.884848273479,621.216248581677,256.425665535364,956.647157584796,2006,1,"0000200",27.6688069025126,1852.28439585208,349.537631233062,669.389268304901,188.188643567928,1243.30955779312,2006,1,"0101210",55.513373323862,1976.01764001989,241.245536122557,515.532157341949,117.000706315827,1062.98359730118,2006,1,"1000210",62.8707119481299,1561.83545823215,462.305692407084,953.124752734055,232.007029110111,1899.23124507543,2006,1,"0101210",61.6194012649416,1541.94812400404,438.115322261711,809.536318455507,244.058199406381,1453.2200348333,2006,1,"1001210",53.9911584584464,1777.4970873094,347.60026419698,743.663122173915,168.396532549957,1535.05237802041,2006,1,"0101210",64.84768549065,1667.72184048018,454.847776637218,957.296814311893,223.820445080232,1945.41802209165,2006,1,"0101210",63.5766526253053,2010.25268417054,444.725521683217,952.323826737188,215.261971842193,1967.47575539044,2006,1,"0101210",65.0480383625259,1818.91856068791,352.560025610893,752.36926631641,171.211364310475,1549.28575488919,2006,1,"0101210",64.7772776611988,2196.79369427208,400.077367386737,829.32903235937,199.739850456671,1661.13960336474,2006,1,"0101210",62.2986023137335
"10",1420.69266888108,394.884848273479,621.216248581677,256.425665535364,956.647157584796,2006,1,"0000200",27.6688069025126,1727.28383633663,349.537631233062,669.389268304901,188.188643567928,1243.30955779312,2006,1,"0101210",55.513373323862,1042.16138385811,241.245536122557,515.532157341949,117.000706315827,1062.98359730118,2006,1,"1000210",62.8707119481299,1065.33669040984,462.305692407084,953.124752734055,232.007029110111,1899.23124507543,2006,1,"0101210",61.6194012649416,1337.66540439089,438.115322261711,809.536318455507,244.058199406381,1453.2200348333,2006,1,"1001210",53.9911584584464,1127.88572776252,347.60026419698,743.663122173915,168.396532549957,1535.05237802041,2006,1,"0101210",64.84768549065,1369.79108702171,454.847776637218,957.296814311893,223.820445080232,1945.41802209165,2006,1,"0101210",63.5766526253053,1042.69942541397,444.725521683217,952.323826737188,215.261971842193,1967.47575539044,2006,1,"0101210",65.0480383625259,1055.53118066962,352.560025610893,752.36926631641,171.211364310475,1549.28575488919,2006,1,"0101210",64.7772776611988,977.596029663114,400.077367386737,829.32903235937,199.739850456671,1661.13960336474,2006,1,"0101210",62.2986023137335
