"","pred","CI.Lo.50","CI.Hi.50","CI.Lo.95","CI.Hi.95","CI.year","CI.period","arma","aicc","pred.1","CI.Lo.50.1","CI.Hi.50.1","CI.Lo.95.1","CI.Hi.95.1","CI.year.1","CI.period.1","arma.1","aicc.1"
"1",3268.61856958147,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,2743.27366018242,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"2",3628.80758146473,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,2831.09646827475,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"3",2055.25680824586,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,3065.19684741798,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"4",1802.99286620574,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,3244.40006528745,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"5",2891.11929718924,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,2626.83178291865,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"6",1493.01669151595,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,2155.00785785786,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"7",3463.2045541617,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,2138.27520085036,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"8",1040.56453002387,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,1967.55794683015,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"9",2044.97950960266,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,1597.72910312423,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"10",1417.89360476048,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,2480.65045567762,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"11",1116.89336012171,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,2843.82880259637,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"12",938.440783088272,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,1281.87977094713,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"13",1191.39395650402,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,1155.80064968385,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"14",NA,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,NA,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"15",599.20870681752,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,973.02146781863,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"16",489.455719556399,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,966.001339082752,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"17",1519.4438645433,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,1825.92352418492,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"18",624.795913512883,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,853.407279714694,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"19",1676.30367849395,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,1152.63660466904,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"20",1181.31630111772,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,1048.86328743442,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"21",898.498558084523,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,1659.60676381975,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"22",1338.86424375824,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,1092.21302581868,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"23",481.647791663912,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,728.944729217688,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"24",510.950371776427,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,753.87073036036,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"25",92.2029549034708,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,256.889046018837,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"26",215.705193080836,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,197.65243753841,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"27",320.77850519365,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,206.019202932171,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"28",380.585231161268,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,154.853951306733,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"29",176.029155540137,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,159.833027460472,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"30",557.958889795235,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,228.094732690348,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
"31",662.259928648303,518.381670820515,846.071992474273,325.01832484154,1349.42610791895,2000,1,"0000200",28.4369191777387,361.883914739741,258.675480088422,506.271285173974,136.413096101743,960.024891229538,2000,1,"1000210",45.9823935144349
