"","pred","CI.Lo.50","CI.Hi.50","CI.Lo.95","CI.Hi.95","CI.year","CI.period","arma","aicc","pred.1","CI.Lo.50.1","CI.Hi.50.1","CI.Lo.95.1","CI.Hi.95.1","CI.year.1","CI.period.1","arma.1","aicc.1","pred.2","CI.Lo.50.2","CI.Hi.50.2","CI.Lo.95.2","CI.Hi.95.2","CI.year.2","CI.period.2","arma.2","aicc.2","pred.3","CI.Lo.50.3","CI.Hi.50.3","CI.Lo.95.3","CI.Hi.95.3","CI.year.3","CI.period.3","arma.3","aicc.3","pred.4","CI.Lo.50.4","CI.Hi.50.4","CI.Lo.95.4","CI.Hi.95.4","CI.year.4","CI.period.4","arma.4","aicc.4","pred.5","CI.Lo.50.5","CI.Hi.50.5","CI.Lo.95.5","CI.Hi.95.5","CI.year.5","CI.period.5","arma.5","aicc.5","pred.6","CI.Lo.50.6","CI.Hi.50.6","CI.Lo.95.6","CI.Hi.95.6","CI.year.6","CI.period.6","arma.6","aicc.6"
"1",3281.57658088173,318.660003983485,507.2773502126,204.604526010723,790.055848671732,1997,1,"0000200",23.403684276472,2742.91790180793,90.9566848253229,172.795612654553,49.3465359933145,318.500899061041,1997,1,"1000210",41.4298747385598,2742.78854923215,126.759714828285,279.388136149593,59.6914964822058,593.303276879411,1997,1,"0100210",51.8035273644505,2743.27372866077,92.0428073637174,197.27388743815,44.5139561664487,407.908979185435,1997,1,"0101210",50.3183188116643,2742.85857511068,186.698305159703,389.979666576998,92.5334260310681,786.835048906824,1997,1,"0000210",44.9118604962925,1825.63937671115,176.745925040369,385.946676389771,83.9728378827616,812.340085850183,1997,1,"1001200",55.6408730878151,2743.1195370625,116.390598685403,253.920881322944,55.3459691278598,533.986555147806,1997,1,"1000210",49.2784638478009
"2",3634.18569982242,318.660003983485,507.2773502126,204.604526010723,790.055848671732,1997,1,"0000200",23.403684276472,2580.7465171618,90.9566848253229,172.795612654553,49.3465359933145,318.500899061041,1997,1,"1000210",41.4298747385598,2856.25930055041,126.759714828285,279.388136149593,59.6914964822058,593.303276879411,1997,1,"0100210",51.8035273644505,2948.57243708729,92.0428073637174,197.27388743815,44.5139561664487,407.908979185435,1997,1,"0101210",50.3183188116643,5691.67692715384,186.698305159703,389.979666576998,92.5334260310681,786.835048906824,1997,1,"0000210",44.9118604962925,2373.21159369513,176.745925040369,385.946676389771,83.9728378827616,812.340085850183,1997,1,"1001200",55.6408730878151,3567.6516893665,116.390598685403,253.920881322944,55.3459691278598,533.986555147806,1997,1,"1000210",49.2784638478009
"3",2086.20095143274,318.660003983485,507.2773502126,204.604526010723,790.055848671732,1997,1,"0000200",23.403684276472,2445.54379862193,90.9566848253229,172.795612654553,49.3465359933145,318.500899061041,1997,1,"1000210",41.4298747385598,2900.92960041977,126.759714828285,279.388136149593,59.6914964822058,593.303276879411,1997,1,"0100210",51.8035273644505,3879.25463238008,92.0428073637174,197.27388743815,44.5139561664487,407.908979185435,1997,1,"0101210",50.3183188116643,4268.09405223519,186.698305159703,389.979666576998,92.5334260310681,786.835048906824,1997,1,"0000210",44.9118604962925,2871.39459307085,176.745925040369,385.946676389771,83.9728378827616,812.340085850183,1997,1,"1001200",55.6408730878151,3632.44599817671,116.390598685403,253.920881322944,55.3459691278598,533.986555147806,1997,1,"1000210",49.2784638478009
"4",1835.82321944134,318.660003983485,507.2773502126,204.604526010723,790.055848671732,1997,1,"0000200",23.403684276472,2818.90080364683,90.9566848253229,172.795612654553,49.3465359933145,318.500899061041,1997,1,"1000210",41.4298747385598,1822.21090463747,126.759714828285,279.388136149593,59.6914964822058,593.303276879411,1997,1,"0100210",51.8035273644505,2748.72103586102,92.0428073637174,197.27388743815,44.5139561664487,407.908979185435,1997,1,"0101210",50.3183188116643,1816.65641743791,186.698305159703,389.979666576998,92.5334260310681,786.835048906824,1997,1,"0000210",44.9118604962925,2849.63161269613,176.745925040369,385.946676389771,83.9728378827616,812.340085850183,1997,1,"1001200",55.6408730878151,1585.12945629447,116.390598685403,253.920881322944,55.3459691278598,533.986555147806,1997,1,"1000210",49.2784638478009
"5",2911.02868750561,318.660003983485,507.2773502126,204.604526010723,790.055848671732,1997,1,"0000200",23.403684276472,2229.23018040245,90.9566848253229,172.795612654553,49.3465359933145,318.500899061041,1997,1,"1000210",41.4298747385598,1961.71170595656,126.759714828285,279.388136149593,59.6914964822058,593.303276879411,1997,1,"0100210",51.8035273644505,1603.86253891745,92.0428073637174,197.27388743815,44.5139561664487,407.908979185435,1997,1,"0101210",50.3183188116643,1477.68581719629,186.698305159703,389.979666576998,92.5334260310681,786.835048906824,1997,1,"0000210",44.9118604962925,2174.88830700611,176.745925040369,385.946676389771,83.9728378827616,812.340085850183,1997,1,"1001200",55.6408730878151,2485.61724984595,116.390598685403,253.920881322944,55.3459691278598,533.986555147806,1997,1,"1000210",49.2784638478009
"6",1527.00939406123,318.660003983485,507.2773502126,204.604526010723,790.055848671732,1997,1,"0000200",23.403684276472,1696.69977426086,90.9566848253229,172.795612654553,49.3465359933145,318.500899061041,1997,1,"1000210",41.4298747385598,2009.16309563039,126.759714828285,279.388136149593,59.6914964822058,593.303276879411,1997,1,"0100210",51.8035273644505,1816.8337121462,92.0428073637174,197.27388743815,44.5139561664487,407.908979185435,1997,1,"0101210",50.3183188116643,2051.20097352219,186.698305159703,389.979666576998,92.5334260310681,786.835048906824,1997,1,"0000210",44.9118604962925,2302.17182169915,176.745925040369,385.946676389771,83.9728378827616,812.340085850183,1997,1,"1001200",55.6408730878151,2852.72612792483,116.390598685403,253.920881322944,55.3459691278598,533.986555147806,1997,1,"1000210",49.2784638478009
"7",3472.17586037484,318.660003983485,507.2773502126,204.604526010723,790.055848671732,1997,1,"0000200",23.403684276472,1816.97389120008,90.9566848253229,172.795612654553,49.3465359933145,318.500899061041,1997,1,"1000210",41.4298747385598,2032.22794703291,126.759714828285,279.388136149593,59.6914964822058,593.303276879411,1997,1,"0100210",51.8035273644505,3247.38088040264,92.0428073637174,197.27388743815,44.5139561664487,407.908979185435,1997,1,"0101210",50.3183188116643,2248.01417104521,186.698305159703,389.979666576998,92.5334260310681,786.835048906824,1997,1,"0000210",44.9118604962925,2374.60821283566,176.745925040369,385.946676389771,83.9728378827616,812.340085850183,1997,1,"1001200",55.6408730878151,2405.892980233,116.390598685403,253.920881322944,55.3459691278598,533.986555147806,1997,1,"1000210",49.2784638478009
"8",1073.39407247583,318.660003983485,507.2773502126,204.604526010723,790.055848671732,1997,1,"0000200",23.403684276472,1465.63642324528,90.9566848253229,172.795612654553,49.3465359933145,318.500899061041,1997,1,"1000210",41.4298747385598,2848.86515847058,126.759714828285,279.388136149593,59.6914964822058,593.303276879411,1997,1,"0100210",51.8035273644505,2227.3062676776,92.0428073637174,197.27388743815,44.5139561664487,407.908979185435,1997,1,"0101210",50.3183188116643,1714.46734506489,186.698305159703,389.979666576998,92.5334260310681,786.835048906824,1997,1,"0000210",44.9118604962925,1959.59475030398,176.745925040369,385.946676389771,83.9728378827616,812.340085850183,1997,1,"1001200",55.6408730878151,1817.55310719154,116.390598685403,253.920881322944,55.3459691278598,533.986555147806,1997,1,"1000210",49.2784638478009
"9",2076.01535714876,318.660003983485,507.2773502126,204.604526010723,790.055848671732,1997,1,"0000200",23.403684276472,1450.85674414349,90.9566848253229,172.795612654553,49.3465359933145,318.500899061041,1997,1,"1000210",41.4298747385598,1613.25747744143,126.759714828285,279.388136149593,59.6914964822058,593.303276879411,1997,1,"0100210",51.8035273644505,1514.97879938525,92.0428073637174,197.27388743815,44.5139561664487,407.908979185435,1997,1,"0101210",50.3183188116643,1541.00859565138,186.698305159703,389.979666576998,92.5334260310681,786.835048906824,1997,1,"0000210",44.9118604962925,1603.5151880809,176.745925040369,385.946676389771,83.9728378827616,812.340085850183,1997,1,"1001200",55.6408730878151,1494.21983854526,116.390598685403,253.920881322944,55.3459691278598,533.986555147806,1997,1,"1000210",49.2784638478009
"10",1451.94995951562,318.660003983485,507.2773502126,204.604526010723,790.055848671732,1997,1,"0000200",23.403684276472,1912.14811303415,90.9566848253229,172.795612654553,49.3465359933145,318.500899061041,1997,1,"1000210",41.4298747385598,1305.26351961156,126.759714828285,279.388136149593,59.6914964822058,593.303276879411,1997,1,"0100210",51.8035273644505,1097.37466699503,92.0428073637174,197.27388743815,44.5139561664487,407.908979185435,1997,1,"0101210",50.3183188116643,2505.37257646616,186.698305159703,389.979666576998,92.5334260310681,786.835048906824,1997,1,"0000210",44.9118604962925,1115.77021092058,176.745925040369,385.946676389771,83.9728378827616,812.340085850183,1997,1,"1001200",55.6408730878151,1543.32555977027,116.390598685403,253.920881322944,55.3459691278598,533.986555147806,1997,1,"1000210",49.2784638478009
