"","pred","CI.Lo.50","CI.Hi.50","CI.Lo.95","CI.Hi.95","CI.year","CI.period","arma","aicc","pred.1","CI.Lo.50.1","CI.Hi.50.1","CI.Lo.95.1","CI.Hi.95.1","CI.year.1","CI.period.1","arma.1","aicc.1","pred.2","CI.Lo.50.2","CI.Hi.50.2","CI.Lo.95.2","CI.Hi.95.2","CI.year.2","CI.period.2","arma.2","aicc.2","pred.3","CI.Lo.50.3","CI.Hi.50.3","CI.Lo.95.3","CI.Hi.95.3","CI.year.3","CI.period.3","arma.3","aicc.3","pred.4","CI.Lo.50.4","CI.Hi.50.4","CI.Lo.95.4","CI.Hi.95.4","CI.year.4","CI.period.4","arma.4","aicc.4","pred.5","CI.Lo.50.5","CI.Hi.50.5","CI.Lo.95.5","CI.Hi.95.5","CI.year.5","CI.period.5","arma.5","aicc.5","pred.6","CI.Lo.50.6","CI.Hi.50.6","CI.Lo.95.6","CI.Hi.95.6","CI.year.6","CI.period.6","arma.6","aicc.6","pred.7","CI.Lo.50.7","CI.Hi.50.7","CI.Lo.95.7","CI.Hi.95.7","CI.year.7","CI.period.7","arma.7","aicc.7"
"1",3153.87993783176,282.199936406857,439.370952369173,185.069176900491,669.968154039335,2012,1,"0000200",29.5910828124346,2743.27366319458,329.17759944316,622.849033047834,179.273342162362,1143.66111013032,2012,1,"1001210",61.3650072585499,2743.05836931707,336.162093949391,691.080360824347,169.162046630266,1373.32827197213,2012,1,"1000210",68.6786889660183,2743.27372799568,415.938970565084,822.001920754625,217.326989173845,1573.21754661454,2012,1,"0101210",66.0401230177433,2743.0020969252,333.666071194665,585.385089701286,195.287844758537,1000.18074989804,2012,1,"0101210",54.5133938983718,2743.47348319615,354.763225497461,738.529057540942,176.400630252979,1485.27219092745,2012,1,"0101210",71.8108202827386,2743.15769338218,358.575927871973,720.136092226204,184.503254060854,1399.56050519813,2012,1,"1002210",69.7964869687076,2743.92620634037,311.401894871185,652.920599479704,153.786805326537,1322.09464554971,2012,1,"0101210",72.5090064044801
"2",3486.47023093865,282.199936406857,439.370952369173,185.069176900491,669.968154039335,2012,1,"0000200",29.5910828124346,2876.75136293441,329.17759944316,622.849033047834,179.273342162362,1143.66111013032,2012,1,"1001210",61.3650072585499,3072.58294718733,336.162093949391,691.080360824347,169.162046630266,1373.32827197213,2012,1,"1000210",68.6786889660183,2952.02611656912,415.938970565084,822.001920754625,217.326989173845,1573.21754661454,2012,1,"0101210",66.0401230177433,4059.91488133557,333.666071194665,585.385089701286,195.287844758537,1000.18074989804,2012,1,"0101210",54.5133938983718,2922.47790646511,354.763225497461,738.529057540942,176.400630252979,1485.27219092745,2012,1,"0101210",71.8108202827386,3368.77639733972,358.575927871973,720.136092226204,184.503254060854,1399.56050519813,2012,1,"1002210",69.7964869687076,2962.79635490906,311.401894871185,652.920599479704,153.786805326537,1322.09464554971,2012,1,"0101210",72.5090064044801
"3",2021.14445860273,282.199936406857,439.370952369173,185.069176900491,669.968154039335,2012,1,"0000200",29.5910828124346,2933.19498397025,329.17759944316,622.849033047834,179.273342162362,1143.66111013032,2012,1,"1001210",61.3650072585499,3403.65762092215,336.162093949391,691.080360824347,169.162046630266,1373.32827197213,2012,1,"1000210",68.6786889660183,3849.28859679762,415.938970565084,822.001920754625,217.326989173845,1573.21754661454,2012,1,"0101210",66.0401230177433,3888.59491543125,333.666071194665,585.385089701286,195.287844758537,1000.18074989804,2012,1,"0101210",54.5133938983718,3188.59539974351,354.763225497461,738.529057540942,176.400630252979,1485.27219092745,2012,1,"0101210",71.8108202827386,3351.62008828289,358.575927871973,720.136092226204,184.503254060854,1399.56050519813,2012,1,"1002210",69.7964869687076,2843.5181745917,311.401894871185,652.920599479704,153.786805326537,1322.09464554971,2012,1,"0101210",72.5090064044801
"4",1782.59997939071,282.199936406857,439.370952369173,185.069176900491,669.968154039335,2012,1,"0000200",29.5910828124346,3070.8663362866,329.17759944316,622.849033047834,179.273342162362,1143.66111013032,2012,1,"1001210",61.3650072585499,2139.42298075077,336.162093949391,691.080360824347,169.162046630266,1373.32827197213,2012,1,"1000210",68.6786889660183,2769.58785812314,415.938970565084,822.001920754625,217.326989173845,1573.21754661454,2012,1,"0101210",66.0401230177433,2193.37693937031,333.666071194665,585.385089701286,195.287844758537,1000.18074989804,2012,1,"0101210",54.5133938983718,2906.2028463094,354.763225497461,738.529057540942,176.400630252979,1485.27219092745,2012,1,"0101210",71.8108202827386,1722.38490752293,358.575927871973,720.136092226204,184.503254060854,1399.56050519813,2012,1,"1002210",69.7964869687076,2498.32359511511,311.401894871185,652.920599479704,153.786805326537,1322.09464554971,2012,1,"0101210",72.5090064044801
"5",2803.68503012278,282.199936406857,439.370952369173,185.069176900491,669.968154039335,2012,1,"0000200",29.5910828124346,2119.89028472321,329.17759944316,622.849033047834,179.273342162362,1143.66111013032,2012,1,"1001210",61.3650072585499,1971.00120396143,336.162093949391,691.080360824347,169.162046630266,1373.32827197213,2012,1,"1000210",68.6786889660183,1607.03826751111,415.938970565084,822.001920754625,217.326989173845,1573.21754661454,2012,1,"0101210",66.0401230177433,1279.09473860866,333.666071194665,585.385089701286,195.287844758537,1000.18074989804,2012,1,"0101210",54.5133938983718,2001.38228553983,354.763225497461,738.529057540942,176.400630252979,1485.27219092745,2012,1,"0101210",71.8108202827386,2299.67528227019,358.575927871973,720.136092226204,184.503254060854,1399.56050519813,2012,1,"1002210",69.7964869687076,1888.94481489901,311.401894871185,652.920599479704,153.786805326537,1322.09464554971,2012,1,"0101210",72.5090064044801
"6",1487.57595884033,282.199936406857,439.370952369173,185.069176900491,669.968154039335,2012,1,"0000200",29.5910828124346,1748.15804273813,329.17759944316,622.849033047834,179.273342162362,1143.66111013032,2012,1,"1001210",61.3650072585499,2481.5172025113,336.162093949391,691.080360824347,169.162046630266,1373.32827197213,2012,1,"1000210",68.6786889660183,1804.77229720839,415.938970565084,822.001920754625,217.326989173845,1573.21754661454,2012,1,"0101210",66.0401230177433,1691.54592175357,333.666071194665,585.385089701286,195.287844758537,1000.18074989804,2012,1,"0101210",54.5133938983718,2232.98585119033,354.763225497461,738.529057540942,176.400630252979,1485.27219092745,2012,1,"0101210",71.8108202827386,2767.56260909799,358.575927871973,720.136092226204,184.503254060854,1399.56050519813,2012,1,"1002210",69.7964869687076,2202.03591950474,311.401894871185,652.920599479704,153.786805326537,1322.09464554971,2012,1,"0101210",72.5090064044801
"7",3333.73264245304,282.199936406857,439.370952369173,185.069176900491,669.968154039335,2012,1,"0000200",29.5910828124346,2444.64959138034,329.17759944316,622.849033047834,179.273342162362,1143.66111013032,2012,1,"1001210",61.3650072585499,2628.89170357963,336.162093949391,691.080360824347,169.162046630266,1373.32827197213,2012,1,"1000210",68.6786889660183,3287.6941805973,415.938970565084,822.001920754625,217.326989173845,1573.21754661454,2012,1,"0101210",66.0401230177433,4284.38540318918,333.666071194665,585.385089701286,195.287844758537,1000.18074989804,2012,1,"0101210",54.5133938983718,2383.27401211933,354.763225497461,738.529057540942,176.400630252979,1485.27219092745,2012,1,"0101210",71.8108202827386,2842.10174969864,358.575927871973,720.136092226204,184.503254060854,1399.56050519813,2012,1,"1002210",69.7964869687076,2495.87428692418,311.401894871185,652.920599479704,153.786805326537,1322.09464554971,2012,1,"0101210",72.5090064044801
"8",1052.21262300434,282.199936406857,439.370952369173,185.069176900491,669.968154039335,2012,1,"0000200",29.5910828124346,2119.62056740823,329.17759944316,622.849033047834,179.273342162362,1143.66111013032,2012,1,"1001210",61.3650072585499,3393.70016917568,336.162093949391,691.080360824347,169.162046630266,1373.32827197213,2012,1,"1000210",68.6786889660183,2228.38455706628,415.938970565084,822.001920754625,217.326989173845,1573.21754661454,2012,1,"0101210",66.0401230177433,1660.37134721153,333.666071194665,585.385089701286,195.287844758537,1000.18074989804,2012,1,"0101210",54.5133938983718,2230.34498949988,354.763225497461,738.529057540942,176.400630252979,1485.27219092745,2012,1,"0101210",71.8108202827386,1919.34620053427,358.575927871973,720.136092226204,184.503254060854,1399.56050519813,2012,1,"1002210",69.7964869687076,2332.29618503705,311.401894871185,652.920599479704,153.786805326537,1322.09464554971,2012,1,"0101210",72.5090064044801
"9",2011.45056444567,282.199936406857,439.370952369173,185.069176900491,669.968154039335,2012,1,"0000200",29.5910828124346,1768.7839219374,329.17759944316,622.849033047834,179.273342162362,1143.66111013032,2012,1,"1001210",61.3650072585499,1950.07394803427,336.162093949391,691.080360824347,169.162046630266,1373.32827197213,2012,1,"1000210",68.6786889660183,1529.88898677012,415.938970565084,822.001920754625,217.326989173845,1573.21754661454,2012,1,"0101210",66.0401230177433,1589.11344380256,333.666071194665,585.385089701286,195.287844758537,1000.18074989804,2012,1,"0101210",54.5133938983718,1813.66492483926,354.763225497461,738.529057540942,176.400630252979,1485.27219092745,2012,1,"0101210",71.8108202827386,1393.90228689799,358.575927871973,720.136092226204,184.503254060854,1399.56050519813,2012,1,"1002210",69.7964869687076,1931.28815310039,311.401894871185,652.920599479704,153.786805326537,1322.09464554971,2012,1,"0101210",72.5090064044801
"10",1415.71606674395,282.199936406857,439.370952369173,185.069176900491,669.968154039335,2012,1,"0000200",29.5910828124346,1814.5668571638,329.17759944316,622.849033047834,179.273342162362,1143.66111013032,2012,1,"1001210",61.3650072585499,1078.61844818334,336.162093949391,691.080360824347,169.162046630266,1373.32827197213,2012,1,"1000210",68.6786889660183,1083.9615455383,415.938970565084,822.001920754625,217.326989173845,1573.21754661454,2012,1,"0101210",66.0401230177433,1410.78189798258,333.666071194665,585.385089701286,195.287844758537,1000.18074989804,2012,1,"0101210",54.5133938983718,1150.16041912351,354.763225497461,738.529057540942,176.400630252979,1485.27219092745,2012,1,"0101210",71.8108202827386,1726.35765080303,358.575927871973,720.136092226204,184.503254060854,1399.56050519813,2012,1,"1002210",69.7964869687076,1133.39750655316,311.401894871185,652.920599479704,153.786805326537,1322.09464554971,2012,1,"0101210",72.5090064044801
