"","pred","CI.Lo.50","CI.Hi.50","CI.Lo.95","CI.Hi.95","CI.year","CI.period","arma","aicc","pred.1","CI.Lo.50.1","CI.Hi.50.1","CI.Lo.95.1","CI.Hi.95.1","CI.year.1","CI.period.1","arma.1","aicc.1","pred.2","CI.Lo.50.2","CI.Hi.50.2","CI.Lo.95.2","CI.Hi.95.2","CI.year.2","CI.period.2","arma.2","aicc.2","pred.3","CI.Lo.50.3","CI.Hi.50.3","CI.Lo.95.3","CI.Hi.95.3","CI.year.3","CI.period.3","arma.3","aicc.3","pred.4","CI.Lo.50.4","CI.Hi.50.4","CI.Lo.95.4","CI.Hi.95.4","CI.year.4","CI.period.4","arma.4","aicc.4","pred.5","CI.Lo.50.5","CI.Hi.50.5","CI.Lo.95.5","CI.Hi.95.5","CI.year.5","CI.period.5","arma.5","aicc.5","pred.6","CI.Lo.50.6","CI.Hi.50.6","CI.Lo.95.6","CI.Hi.95.6","CI.year.6","CI.period.6","arma.6","aicc.6","pred.7","CI.Lo.50.7","CI.Hi.50.7","CI.Lo.95.7","CI.Hi.95.7","CI.year.7","CI.period.7","arma.7","aicc.7","pred.8","CI.Lo.50.8","CI.Hi.50.8","CI.Lo.95.8","CI.Hi.95.8","CI.year.8","CI.period.8","arma.8","aicc.8"
"1",3239.24249467588,562.330856208659,878.870759989555,367.441757853867,1345.01900341505,2007,1,"0000200",27.2556987039399,2743.27366649257,295.546693134773,559.397283835654,160.907574945882,1027.47193500248,2007,1,"0101210",55.7606483536631,2743.06014179779,336.99701845299,715.32648341133,164.488713723597,1465.52846498124,2007,1,"1000210",63.9154198183734,2743.27372223592,311.07721785909,635.690076245202,157.435425247926,1256.06228730021,2007,1,"0101210",62.2714117818379,2743.01238338748,288.798671957129,524.589320708646,163.52129400337,926.489116092898,2007,1,"0101210",53.0111304941905,2743.53838541129,269.598850481498,569.851906694567,132.122263935534,1162.79735461169,2007,1,"0101210",65.3887974720671,2743.15824654589,269.233527505669,561.353136585956,133.673271825399,1130.63055220806,2007,1,"0101210",64.2621456713141,2744.28262925911,388.083709089715,822.802638327591,189.635450081717,1683.84286584273,2007,1,"0101210",65.7524407669333,2737.82889954222,399.964990023145,843.336235042569,196.469432350629,1716.83179820557,2007,1,"0101210",65.3101070984761
"2",3590.83517111508,562.330856208659,878.870759989555,367.441757853867,1345.01900341505,2007,1,"0000200",27.2556987039399,2915.15443712366,295.546693134773,559.397283835654,160.907574945882,1027.47193500248,2007,1,"0101210",55.7606483536631,3072.72118291617,336.99701845299,715.32648341133,164.488713723597,1465.52846498124,2007,1,"1000210",63.9154198183734,2946.35843971121,311.07721785909,635.690076245202,157.435425247926,1256.06228730021,2007,1,"0101210",62.2714117818379,4016.85513255357,288.798671957129,524.589320708646,163.52129400337,926.489116092898,2007,1,"0101210",53.0111304941905,2947.26468185956,269.598850481498,569.851906694567,132.122263935534,1162.79735461169,2007,1,"0101210",65.3887974720671,3366.03438528145,269.233527505669,561.353136585956,133.673271825399,1130.63055220806,2007,1,"0101210",64.2621456713141,3037.79783210829,388.083709089715,822.802638327591,189.635450081717,1683.84286584273,2007,1,"0101210",65.7524407669333,3323.84054006132,399.964990023145,843.336235042569,196.469432350629,1716.83179820557,2007,1,"0101210",65.3101070984761
"3",2050.31200084039,562.330856208659,878.870759989555,367.441757853867,1345.01900341505,2007,1,"0000200",27.2556987039399,2863.83962498245,295.546693134773,559.397283835654,160.907574945882,1027.47193500248,2007,1,"0101210",55.7606483536631,3396.62608744927,336.99701845299,715.32648341133,164.488713723597,1465.52846498124,2007,1,"1000210",63.9154198183734,3750.53282170336,311.07721785909,635.690076245202,157.435425247926,1256.06228730021,2007,1,"0101210",62.2714117818379,3797.42356057133,288.798671957129,524.589320708646,163.52129400337,926.489116092898,2007,1,"0101210",53.0111304941905,3241.86779031756,269.598850481498,569.851906694567,132.122263935534,1162.79735461169,2007,1,"0101210",65.3887974720671,3411.51084817816,269.233527505669,561.353136585956,133.673271825399,1130.63055220806,2007,1,"0101210",64.2621456713141,2727.78310169003,388.083709089715,822.802638327591,189.635450081717,1683.84286584273,2007,1,"0101210",65.7524407669333,2886.64836775652,399.964990023145,843.336235042569,196.469432350629,1716.83179820557,2007,1,"0101210",65.3101070984761
"4",1802.01840758902,562.330856208659,878.870759989555,367.441757853867,1345.01900341505,2007,1,"0000200",27.2556987039399,3135.06518555287,295.546693134773,559.397283835654,160.907574945882,1027.47193500248,2007,1,"0101210",55.7606483536631,2157.09781261172,336.99701845299,715.32648341133,164.488713723597,1465.52846498124,2007,1,"1000210",63.9154198183734,2738.58171108583,311.07721785909,635.690076245202,157.435425247926,1256.06228730021,2007,1,"0101210",62.2714117818379,2150.27166280599,288.798671957129,524.589320708646,163.52129400337,926.489116092898,2007,1,"0101210",53.0111304941905,3044.1101817286,269.598850481498,569.851906694567,132.122263935534,1162.79735461169,2007,1,"0101210",65.3887974720671,1776.24753444992,269.233527505669,561.353136585956,133.673271825399,1130.63055220806,2007,1,"0101210",64.2621456713141,2501.38710606448,388.083709089715,822.802638327591,189.635450081717,1683.84286584273,2007,1,"0101210",65.7524407669333,2330.35042397291,399.964990023145,843.336235042569,196.469432350629,1716.83179820557,2007,1,"0101210",65.3101070984761
"5",2870.15664905748,562.330856208659,878.870759989555,367.441757853867,1345.01900341505,2007,1,"0000200",27.2556987039399,2322.35184384053,295.546693134773,559.397283835654,160.907574945882,1027.47193500248,2007,1,"0101210",55.7606483536631,1966.91949259354,336.99701845299,715.32648341133,164.488713723597,1465.52846498124,2007,1,"1000210",63.9154198183734,1602.74114396965,311.07721785909,635.690076245202,157.435425247926,1256.06228730021,2007,1,"0101210",62.2714117818379,1285.4587158859,288.798671957129,524.589320708646,163.52129400337,926.489116092898,2007,1,"0101210",53.0111304941905,2086.59740051307,269.598850481498,569.851906694567,132.122263935534,1162.79735461169,2007,1,"0101210",65.3887974720671,2041.95729402569,269.233527505669,561.353136585956,133.673271825399,1130.63055220806,2007,1,"0101210",64.2621456713141,1952.6899646679,388.083709089715,822.802638327591,189.635450081717,1683.84286584273,2007,1,"0101210",65.7524407669333,1629.40194774817,399.964990023145,843.336235042569,196.469432350629,1716.83179820557,2007,1,"0101210",65.3101070984761
"6",1496.23120961966,562.330856208659,878.870759989555,367.441757853867,1345.01900341505,2007,1,"0000200",27.2556987039399,1711.51635003258,295.546693134773,559.397283835654,160.907574945882,1027.47193500248,2007,1,"0101210",55.7606483536631,2470.56616062545,336.99701845299,715.32648341133,164.488713723597,1465.52846498124,2007,1,"1000210",63.9154198183734,1828.76531708337,311.07721785909,635.690076245202,157.435425247926,1256.06228730021,2007,1,"0101210",62.2714117818379,1738.46407301137,288.798671957129,524.589320708646,163.52129400337,926.489116092898,2007,1,"0101210",53.0111304941905,2220.47628414615,269.598850481498,569.851906694567,132.122263935534,1162.79735461169,2007,1,"0101210",65.3887974720671,2751.52564203087,269.233527505669,561.353136585956,133.673271825399,1130.63055220806,2007,1,"0101210",64.2621456713141,2113.624507184,388.083709089715,822.802638327591,189.635450081717,1683.84286584273,2007,1,"0101210",65.7524407669333,2672.72753083112,399.964990023145,843.336235042569,196.469432350629,1716.83179820557,2007,1,"0101210",65.3101070984761
"7",3429.24945289939,562.330856208659,878.870759989555,367.441757853867,1345.01900341505,2007,1,"0000200",27.2556987039399,2592.99678589879,295.546693134773,559.397283835654,160.907574945882,1027.47193500248,2007,1,"0101210",55.7606483536631,2642.5922002177,336.99701845299,715.32648341133,164.488713723597,1465.52846498124,2007,1,"1000210",63.9154198183734,3272.55914722691,311.07721785909,635.690076245202,157.435425247926,1256.06228730021,2007,1,"0101210",62.2714117818379,4246.8344947831,288.798671957129,524.589320708646,163.52129400337,926.489116092898,2007,1,"0101210",53.0111304941905,2358.65989138015,269.598850481498,569.851906694567,132.122263935534,1162.79735461169,2007,1,"0101210",65.3887974720671,2796.03367034334,269.233527505669,561.353136585956,133.673271825399,1130.63055220806,2007,1,"0101210",64.2621456713141,2600.35313372831,388.083709089715,822.802638327591,189.635450081717,1683.84286584273,2007,1,"0101210",65.7524407669333,3146.706659609,399.964990023145,843.336235042569,196.469432350629,1716.83179820557,2007,1,"0101210",65.3101070984761
"8",1048.18988366047,562.330856208659,878.870759989555,367.441757853867,1345.01900341505,2007,1,"0000200",27.2556987039399,2091.47505716599,295.546693134773,559.397283835654,160.907574945882,1027.47193500248,2007,1,"0101210",55.7606483536631,3360.01390647068,336.99701845299,715.32648341133,164.488713723597,1465.52846498124,2007,1,"1000210",63.9154198183734,2253.17313378834,311.07721785909,635.690076245202,157.435425247926,1256.06228730021,2007,1,"0101210",62.2714117818379,1677.36750233319,288.798671957129,524.589320708646,163.52129400337,926.489116092898,2007,1,"0101210",53.0111304941905,2135.74003006216,269.598850481498,569.851906694567,132.122263935534,1162.79735461169,2007,1,"0101210",65.3887974720671,1730.93908456483,269.233527505669,561.353136585956,133.673271825399,1130.63055220806,2007,1,"0101210",64.2621456713141,2183.08125764215,388.083709089715,822.802638327591,189.635450081717,1683.84286584273,2007,1,"0101210",65.7524407669333,2389.40115741465,399.964990023145,843.336235042569,196.469432350629,1716.83179820557,2007,1,"0101210",65.3101070984761
"9",2040.20533423831,562.330856208659,878.870759989555,367.441757853867,1345.01900341505,2007,1,"0000200",27.2556987039399,1868.8438003821,295.546693134773,559.397283835654,160.907574945882,1027.47193500248,2007,1,"0101210",55.7606483536631,1984.12933513964,336.99701845299,715.32648341133,164.488713723597,1465.52846498124,2007,1,"1000210",63.9154198183734,1556.60192681608,311.07721785909,635.690076245202,157.435425247926,1256.06228730021,2007,1,"0101210",62.2714117818379,1581.93001390411,288.798671957129,524.589320708646,163.52129400337,926.489116092898,2007,1,"0101210",53.0111304941905,1783.78617630508,269.598850481498,569.851906694567,132.122263935534,1162.79735461169,2007,1,"0101210",65.3887974720671,1661.22754958197,269.233527505669,561.353136585956,133.673271825399,1130.63055220806,2007,1,"0101210",64.2621456713141,1996.25931714458,388.083709089715,822.802638327591,189.635450081717,1683.84286584273,2007,1,"0101210",65.7524407669333,1820.39459374111,399.964990023145,843.336235042569,196.469432350629,1716.83179820557,2007,1,"0101210",65.3101070984761
"10",1421.99331871331,562.330856208659,878.870759989555,367.441757853867,1345.01900341505,2007,1,"0000200",27.2556987039399,1701.3206069958,295.546693134773,559.397283835654,160.907574945882,1027.47193500248,2007,1,"0101210",55.7606483536631,1071.90986590165,336.99701845299,715.32648341133,164.488713723597,1465.52846498124,2007,1,"1000210",63.9154198183734,1073.14347771554,311.07721785909,635.690076245202,157.435425247926,1256.06228730021,2007,1,"0101210",62.2714117818379,1383.97909170977,288.798671957129,524.589320708646,163.52129400337,926.489116092898,2007,1,"0101210",53.0111304941905,1125.33758862175,269.598850481498,569.851906694567,132.122263935534,1162.79735461169,2007,1,"0101210",65.3887974720671,1365.68975378586,269.233527505669,561.353136585956,133.673271825399,1130.63055220806,2007,1,"0101210",64.2621456713141,1048.48159422576,388.083709089715,822.802638327591,189.635450081717,1683.84286584273,2007,1,"0101210",65.7524407669333,1054.5162221648,399.964990023145,843.336235042569,196.469432350629,1716.83179820557,2007,1,"0101210",65.3101070984761
