"","pred","CI.Lo.50","CI.Hi.50","CI.Lo.95","CI.Hi.95","CI.year","CI.period","arma","aicc","pred.1","CI.Lo.50.1","CI.Hi.50.1","CI.Lo.95.1","CI.Hi.95.1","CI.year.1","CI.period.1","arma.1","aicc.1","pred.2","CI.Lo.50.2","CI.Hi.50.2","CI.Lo.95.2","CI.Hi.95.2","CI.year.2","CI.period.2","arma.2","aicc.2","pred.3","CI.Lo.50.3","CI.Hi.50.3","CI.Lo.95.3","CI.Hi.95.3","CI.year.3","CI.period.3","arma.3","aicc.3","pred.4","CI.Lo.50.4","CI.Hi.50.4","CI.Lo.95.4","CI.Hi.95.4","CI.year.4","CI.period.4","arma.4","aicc.4"
"1",3327.90997636239,135.830590182336,222.185480802084,84.9846723799898,355.117977655452,1998,1,"0000200",27.1338865671248,2742.94760233082,94.1216170572874,178.443723058043,51.1629882972612,328.272689436415,1998,1,"1000210",42.5103139625351,2742.78739715065,127.037597123613,275.126169839767,60.8319170812696,574.556403928109,1998,1,"0100210",52.33240005401,2743.2737267191,105.892924769218,226.928713375478,51.2186144239478,469.168200735423,1998,1,"1000210",49.8338849520435,2742.95316904636,69.0877898210991,138.107917362995,35.7063497319419,267.223360523708,1998,1,"1000210",44.7160187036687
"2",3698.75519938826,135.830590182336,222.185480802084,84.9846723799898,355.117977655452,1998,1,"0000200",27.1338865671248,2597.92686931309,94.1216170572874,178.443723058043,51.1629882972612,328.272689436415,1998,1,"1000210",42.5103139625351,2864.05451325693,127.037597123613,275.126169839767,60.8319170812696,574.556403928109,1998,1,"0100210",52.33240005401,2929.2833116167,105.892924769218,226.928713375478,51.2186144239478,469.168200735423,1998,1,"1000210",49.8338849520435,4695.85437501891,69.0877898210991,138.107917362995,35.7063497319419,267.223360523708,1998,1,"1000210",44.7160187036687
"3",2082.20672975636,135.830590182336,222.185480802084,84.9846723799898,355.117977655452,1998,1,"0000200",27.1338865671248,2495.46773837471,94.1216170572874,178.443723058043,51.1629882972612,328.272689436415,1998,1,"1000210",42.5103139625351,2905.58046086505,127.037597123613,275.126169839767,60.8319170812696,574.556403928109,1998,1,"0100210",52.33240005401,3950.01622524187,105.892924769218,226.928713375478,51.2186144239478,469.168200735423,1998,1,"1000210",49.8338849520435,4645.50634248668,69.0877898210991,138.107917362995,35.7063497319419,267.223360523708,1998,1,"1000210",44.7160187036687
"4",1824.08490362309,135.830590182336,222.185480802084,84.9846723799898,355.117977655452,1998,1,"0000200",27.1338865671248,2854.15863332976,94.1216170572874,178.443723058043,51.1629882972612,328.272689436415,1998,1,"1000210",42.5103139625351,1823.56906928861,127.037597123613,275.126169839767,60.8319170812696,574.556403928109,1998,1,"0100210",52.33240005401,2753.79459243745,105.892924769218,226.928713375478,51.2186144239478,469.168200735423,1998,1,"1000210",49.8338849520435,2449.10976277731,69.0877898210991,138.107917362995,35.7063497319419,267.223360523708,1998,1,"1000210",44.7160187036687
"5",2939.71179312663,135.830590182336,222.185480802084,84.9846723799898,355.117977655452,1998,1,"0000200",27.1338865671248,2262.03588848702,94.1216170572874,178.443723058043,51.1629882972612,328.272689436415,1998,1,"1000210",42.5103139625351,1970.85182627619,127.037597123613,275.126169839767,60.8319170812696,574.556403928109,1998,1,"0100210",52.33240005401,1758.69122435423,105.892924769218,226.928713375478,51.2186144239478,469.168200735423,1998,1,"1000210",49.8338849520435,1556.72476829634,69.0877898210991,138.107917362995,35.7063497319419,267.223360523708,1998,1,"1000210",44.7160187036687
"6",1507.4457238493,135.830590182336,222.185480802084,84.9846723799898,355.117977655452,1998,1,"0000200",27.1338865671248,1733.32956735923,94.1216170572874,178.443723058043,51.1629882972612,328.272689436415,1998,1,"1000210",42.5103139625351,2009.45037172215,127.037597123613,275.126169839767,60.8319170812696,574.556403928109,1998,1,"0100210",52.33240005401,1947.40605400584,105.892924769218,226.928713375478,51.2186144239478,469.168200735423,1998,1,"1000210",49.8338849520435,1728.1748701353,69.0877898210991,138.107917362995,35.7063497319419,267.223360523708,1998,1,"1000210",44.7160187036687
"7",3528.20153138237,135.830590182336,222.185480802084,84.9846723799898,355.117977655452,1998,1,"0000200",27.1338865671248,1843.30937100717,94.1216170572874,178.443723058043,51.1629882972612,328.272689436415,1998,1,"1000210",42.5103139625351,2043.71199821669,127.037597123613,275.126169839767,60.8319170812696,574.556403928109,1998,1,"0100210",52.33240005401,2689.53392983742,105.892924769218,226.928713375478,51.2186144239478,469.168200735423,1998,1,"1000210",49.8338849520435,2359.45289629947,69.0877898210991,138.107917362995,35.7063497319419,267.223360523708,1998,1,"1000210",44.7160187036687
"8",1046.58220985696,135.830590182336,222.185480802084,84.9846723799898,355.117977655452,1998,1,"0000200",27.1338865671248,1504.89589978255,94.1216170572874,178.443723058043,51.1629882972612,328.272689436415,1998,1,"1000210",42.5103139625351,2857.93250478899,127.037597123613,275.126169839767,60.8319170812696,574.556403928109,1998,1,"0100210",52.33240005401,2153.92453431659,105.892924769218,226.928713375478,51.2186144239478,469.168200735423,1998,1,"1000210",49.8338849520435,1629.15252041913,69.0877898210991,138.107917362995,35.7063497319419,267.223360523708,1998,1,"1000210",44.7160187036687
"9",2071.68387381089,135.830590182336,222.185480802084,84.9846723799898,355.117977655452,1998,1,"0000200",27.1338865671248,1462.80309772045,94.1216170572874,178.443723058043,51.1629882972612,328.272689436415,1998,1,"1000210",42.5103139625351,1628.75686521615,127.037597123613,275.126169839767,60.8319170812696,574.556403928109,1998,1,"0100210",52.33240005401,1597.3327149486,105.892924769218,226.928713375478,51.2186144239478,469.168200735423,1998,1,"1000210",49.8338849520435,1849.6801464503,69.0877898210991,138.107917362995,35.7063497319419,267.223360523708,1998,1,"1000210",44.7160187036687
"10",1430.80838994296,135.830590182336,222.185480802084,84.9846723799898,355.117977655452,1998,1,"0000200",27.1338865671248,1957.9347347849,94.1216170572874,178.443723058043,51.1629882972612,328.272689436415,1998,1,"1000210",42.5103139625351,1310.29927344686,127.037597123613,275.126169839767,60.8319170812696,574.556403928109,1998,1,"0100210",52.33240005401,1243.50853279246,105.892924769218,226.928713375478,51.2186144239478,469.168200735423,1998,1,"1000210",49.8338849520435,2100.55896278907,69.0877898210991,138.107917362995,35.7063497319419,267.223360523708,1998,1,"1000210",44.7160187036687
